Title,Score,ProgressChapter,ProgressVolumes,Type
Shijou Saikyou no Deshi Kenichi,0,584,61,MANGA
Cardcaptor Sakura,0,50,12,MANGA
Hellsing,0,92,10,MANGA
Gyo: Ugomeku Bukimi,0,21,2,MANGA
Kishuku Gakkou no Juliet,0,120,16,MANGA
Monogatari Series: First Season,0,107,6,NOVEL
Bonnouji,0,36,3,MANGA
To LOVE-Ru Darkness,0,100,18,MANGA
Eden: It's an Endless World!,0,127,18,MANGA
Devilman,0,53,5,MANGA
Kaze no Tani no Nausicaä,0,59,7,MANGA
Ookami Shounen wa Kyou mo Uso wo Kasaneru,0,34,5,MANGA
Tomie,0,20,3,MANGA
NHK ni Youkoso!,0,40,8,MANGA
Jitsu wa Watashi wa,0,196,22,MANGA
Kamisama Hajimemashita,0,154,25,MANGA
Fairy Tail Zerø,0,13,1,MANGA
Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki,0,10,1,MANGA
Übel Blatt,0,172,24,MANGA
Rosario to Vampire: Season II,0,67,14,MANGA
Sukitte Ii na yo.,0,73,18,MANGA
Nijigahara Holograph,0,15,1,MANGA
Girl Friends,0,35,5,MANGA
Nana to Kaoru,0,156,18,MANGA
Fuuka,0,204,20,MANGA
Angel Densetsu,0,89,15,MANGA
The Voynich Hotel,0,68,3,MANGA
Planetes,0,27,4,MANGA
Love Hina,0,123,14,MANGA
GE: Good Ending,0,159,16,MANGA
Another,0,20,4,MANGA
Tasogare Otome x Amnesia,0,54,10,MANGA
Mousou Telepathy,0,724,7,MANGA
Dungeon ni Deai wo Motomeru no wa Machigatteiru no Darou ka,0,89,10,MANGA
Beck,0,103,34,MANGA
Billy Bat,0,165,20,MANGA
Usagi Drop,0,62,10,MANGA
Akumetsu,0,162,18,MANGA
Tsurezure Children,0,212,12,MANGA
Kengan Ashura,0,256,27,MANGA
Chobits,0,88,8,MANGA
Vampire Knight,0,93,19,MANGA
Toriko,0,396,43,MANGA
Azumanga Daioh,0,69,4,MANGA
Senryuu Shoujo,0,173,13,MANGA
Sundome,0,76,8,MANGA
Kono Subarashii Sekai ni Shukufuku wo!,0,127,17,NOVEL
Sakamoto desu ga?,0,24,4,MANGA
Bokura wa Minna Kawaisou,0,94,11,MANGA
Kase-san Series,0,24,5,MANGA
Ashita no Joe,0,171,20,MANGA
Ibitsu,0,15,2,MANGA
Darling in the Franxx,0,60,8,MANGA
Watashi ni xx Shinasai!,0,83,19,MANGA
Gin no Saji,0,131,15,MANGA
Kagerou Days,0,70,13,MANGA
Barakamon,0,139,18,MANGA
Real Account,0,182,24,MANGA
Ookami Shoujo to Kuro Ouji,0,67,16,MANGA
Mahou Shoujo of the End,0,64,16,MANGA
Sora no Otoshimono,0,77,20,MANGA
Tenkuu Shinpan,0,258,21,MANGA
InuYasha,0,558,56,MANGA
Suzuka,0,166,18,MANGA
Groove Adventure Rave,0,298,35,MANGA
Hiyokoi,0,69,14,MANGA
Love So Life,0,111,17,MANGA
Franken Fran,0,69,8,MANGA
Seven Days,0,14,2,MANGA
Shingeki no Kyojin Gaiden: Kuinaki Sentaku,0,8,2,MANGA
Genshiken,0,55,9,MANGA
Tokidoki,0,1,0,ONE_SHOT
Kimi no Na wa.,0,9,3,MANGA
ARIA,0,67,12,MANGA
Yankee-kun to Megane-chan,0,219,23,MANGA
Kimi no Suizou wo Tabetai,0,10,2,MANGA
No.6,0,35,9,MANGA
Strobe Edge,0,42,10,MANGA
Kuzumi-kun, Kuuki Yometemasu ka?,0,56,8,MANGA
Gokukoku no Brynhildr,0,181,18,MANGA
Ao no Flag,0,54,8,MANGA
Bishoujo Senshi Sailor Moon,0,65,18,MANGA
Lovely★Complex,0,68,17,MANGA
Maga-Tsuki,0,68,13,MANGA
Watashi ga Motete Dousunda,0,60,14,MANGA
Shachiku Succubus no Hanashi,0,23,1,MANGA
Nazo no Kanojo X,0,98,12,MANGA
Kozure Ookami,0,142,28,MANGA
Apocalypse no Toride,0,49,10,MANGA
Ookami to Koushinryou,0,108,16,MANGA
Komi-san wa Komyushou desu.,0,1,0,ONE_SHOT
Mahou Shoujo Madoka★Magica,0,12,3,MANGA
Hikaru no Go,0,197,23,MANGA
Shingetsutan Tsukihime,0,75,10,MANGA
Innocent,0,99,9,MANGA
Subarashii Sekai,0,19,2,MANGA
Ran to Haiiro no Sekai,0,52,7,MANGA
Nichijou,0,210,10,MANGA
Nurarihyon no Mago,0,218,25,MANGA
Zetman,0,226,20,MANGA
Mx0,0,99,10,MANGA
Bloody Monday,0,96,11,MANGA
Oretama,0,41,6,MANGA
Rakudai Kishi no Cavalry,0,48,11,MANGA
Orange Marmalade,0,120,8,MANGA
Magi: Sinbad no Bouken,0,182,18,MANGA
Kuragehime,0,93,17,MANGA
Denpa Kyoushi,0,247,26,MANGA
Sidonia no Kishi,0,78,15,MANGA
Ichigo 100%,0,167,19,MANGA
Koukou Debut,0,62,15,MANGA
Kanojo ni Naru Hi,0,20,4,MANGA
Ousama Game,0,25,5,MANGA
Ranma ½,0,407,38,MANGA
Banana Fish,0,110,19,MANGA
Bitter Virgin,0,32,4,MANGA
Nijiiro Days,0,80,16,MANGA
Hourou Musuko,0,123,15,MANGA
Hokuto no Ken,0,245,27,MANGA
Dragons Rioting,0,50,9,MANGA
Boku no Kanojo wa Saikou desu!,0,42,6,MANGA
Dungeon Seeker,0,33,3,MANGA
Koi wa Ameagari no You ni,0,83,10,MANGA
K-On!,0,57,4,MANGA
Mahou Shoujo Site,0,141,16,MANGA
Tsubaki-chou Lonely Planet,0,85,14,MANGA
ib: Instant Bullet,0,27,5,MANGA
Kakukaku Shikajika,0,34,5,MANGA
Bokurano,0,66,11,MANGA
Toaru Majutsu no Index,0,133,22,NOVEL
Judge,0,32,6,MANGA
Yu☆Gi☆Oh!,0,343,38,MANGA
Akame ga Kill! Zero,0,60,10,MANGA
Shingeki no Kyojin: Before the Fall,0,73,17,MANGA
Sayonara Zetsubou Sensei,0,301,30,MANGA
Black Cat,0,187,20,MANGA
