Title,Score,ProgressChapter,ProgressVolumes,Type
3x3 Eyes,0,576,40,MANGA
Yowai 5000-nen no Soushoku Dragon, Iwarenaki Jaryuu Nintei: Yada Kono Ikenie, Hito no Hanashi wo Kiite Kurenai,0,23,5,MANGA
Elf Yome to Hajimeru Isekai Ryoushu Seikatsu,0,26,4,MANGA
Hamefura x Arte,0,6,0,MANGA
Hybrid Child,0,5,1,MANGA
Ludwig Kakumei,0,16,4,MANGA
Fate/Apocrypha,0,0,5,NOVEL
Mai Ball!,0,107,15,MANGA
Dokumushi,0,0,6,MANGA
Carnivorous Princess Yegrinna,0,25,5,MANGA
Gijeogui App Store,0,50,0,MANGA
Onii-chan no Koto nanka Zenzen Suki Janain Dakara ne!!,0,85,12,MANGA
Sorenari ni Shinken nan desu.,0,15,2,MANGA
Saiyuki Gaiden,0,34,4,MANGA
Mishounen Produce,0,22,4,MANGA
Hanatsukihime,0,10,2,MANGA
Mado kara Madoka-chan,0,74,5,MANGA
Gate: Jieitai Kano Chi nite, Kaku Tatakaeri,0,0,18,NOVEL
Higashi no Kurume to Tonari no Meguru,0,25,3,MANGA
Akai Ito no Shikkou Yuuyo,0,7,1,MANGA
Ito Junji Kyoufu Manga Collection: Kubi Gensou,0,6,1,MANGA
Fate/Zero,0,74,14,MANGA
Bloody Kiss,0,8,2,MANGA
Mitsu x Mitsu Drops,0,46,8,MANGA
Love Lab,0,199,15,MANGA
Code Geass: Nightmare of Nunnally,0,26,5,MANGA
Dorei-ku: Boku to 23-nin no Dorei,0,45,10,MANGA
Bitgwa Geurimja,0,103,0,MANGA
Yuusha Goikkou no Kaerimichi,0,1,0,ONE_SHOT
Bamboo Blade,0,107,14,MANGA
Gamers!,0,33,7,MANGA
Rengoku no Ashe,0,1,0,ONE_SHOT
Stand Up!,0,20,4,MANGA
Kyoukai no Kanata,0,0,3,NOVEL
Mayoi Neko Overrun!,0,10,2,MANGA
Superior Cross,0,28,6,MANGA
Shina Dark,0,20,4,MANGA
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai: Manmaru-hen,0,23,4,MANGA
Tomogui Kyoushitsu,0,39,4,MANGA
Love Neco,0,7,1,MANGA
Ore Ride!!,0,1,0,ONE_SHOT
Yoiko Kei Furyou Succubus Saki-chan,0,199,2,MANGA
Karakuridouji Ultimo,0,54,12,MANGA
Kore wa Zombie desu ka?,0,46,8,MANGA
Tokyo Mew Mew a La Mode,0,10,2,MANGA
Mahouka Koukou no Yuutousei,0,82,11,MANGA
Nise x Koi Boyfriend,0,11,2,MANGA
Hatsukoi Wazurai,0,5,1,MANGA
Iron Knight,0,20,3,MANGA
Nano List,0,146,0,MANGA
Ogeha,0,15,3,MANGA
Bleach Short Story Edition,0,1,0,ONE_SHOT
Futatsu no Spica,0,116,16,MANGA
Hana to Hina wa Houkago,0,19,3,MANGA
Zelda no Densetsu: Yottsu no Tsurugi+,0,12,2,MANGA
Doubt!,0,15,4,MANGA
fetish,0,5,1,MANGA
Strike the Blood,0,53,10,MANGA
Yankano!,0,5,1,MANGA
Ten: Tenhou-doori no Kaidanji,0,164,18,MANGA
Touhou Ibarakasen: Wild and Horned Hermit,0,51,10,MANGA
Dungeon Hoiku,0,24,0,MANGA
Tenju no Kuni,0,25,5,MANGA
Hyouryuu Net Cafe,0,63,7,MANGA
Sakamichi no Apollon: Bonus Track,0,5,1,MANGA
Shin Seiki Evangelion: Koutetsu no Girlfriend 2nd,0,24,6,MANGA
SWOT,0,20,3,MANGA
King's Maker,0,38,3,MANGA
Baka to Test to Shoukanjuu,0,30,15,MANGA
Fraction,0,12,1,MANGA
Shouraiteki ni Shindekure,0,42,7,MANGA
NieR:Automata,0,20,2,NOVEL
Kurosagi,0,219,20,MANGA
Kiryuuin Kaya ni Chi wo Suwareru dake no Kantan na Oshigoto,0,16,3,MANGA
Oneuldo Sarangseureopgae,0,92,6,MANGA
Hitorimi Haduki-san to.,0,14,2,MANGA
Devilman Lady,0,65,17,MANGA
Tokyo Tarareba Musume,0,31,9,MANGA
Red Sprite,0,15,2,MANGA
Fools,0,73,4,MANGA
Yajirobee,0,11,2,MANGA
Hana wa Saku ka,0,35,5,MANGA
Private Prince,0,25,5,MANGA
Mario,0,1,0,ONE_SHOT
Boku no Futatsu no Tsubasa,0,37,5,MANGA
Cheese in the Trap Season 2,0,67,9,MANGA
Servant x Service,0,78,4,MANGA
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,0,17,4,MANGA
The World Is Mine,0,163,14,MANGA
Miman Renai,0,30,5,MANGA
Arakure,0,57,10,MANGA
Ore ga Heroine wo Tasukesugite Sekai ga Little Mokushiroku!?,0,33,5,MANGA
flat,0,45,8,MANGA
Fairy Tail S,0,18,2,MANGA
One Piece x Toriko,0,1,0,ONE_SHOT
Yawara!,0,331,29,MANGA
Bakuon Rettou,0,105,18,MANGA
Necromancer,0,20,4,MANGA
Beelzebub Maou Gaiden,0,5,1,MANGA
Momo no Musume!,0,4,1,MANGA
Reo to Mabu: Futari no Sarazanmai,0,11,1,MANGA
Bokura no☆Hikari Club,0,12,2,MANGA
River's Edge,0,14,1,MANGA
Full Metal Panic!,0,72,12,NOVEL
Gravitation,0,54,12,MANGA
Ayashi no Ceres,0,83,14,MANGA
Shi ni Itaru Yamai,0,19,2,MANGA
Isekai Houtei: Rebuttal Barrister,0,16,3,MANGA
Kamen Teacher,0,39,4,MANGA
Samon-kun wa Summoner,0,83,10,MANGA
Fukanzen na Hito no Tame ni,0,12,2,MANGA
BioMeat: Nectar,0,105,12,MANGA
Bokura no Negai,0,21,3,MANGA
Persona 4,0,67,13,MANGA
Rakko 11-gou,0,1,0,ONE_SHOT
Tomodachi Ijou no Koto, Shitai.,0,6,1,MANGA
Pika☆Ichi,0,28,7,MANGA
Naega Jibaehaneun Sesang,0,41,0,MANGA
Dracu-Riot!,0,13,2,MANGA
Yamada to Shounen,0,8,1,MANGA
Saruyama!,0,34,8,MANGA
Ohimesama no Himitsu,0,7,1,MANGA
Ito Junji Kyoufu Manga Collection - Michi no Naimachi,0,5,1,MANGA
Ultra Maniac,0,25,5,MANGA
AR∀GO,0,85,9,MANGA
Boku wa Kiss de Uso wo Tsuku,0,10,2,MANGA
Souten no Ken,0,260,22,MANGA
Rustblaster,0,6,1,MANGA
Shoujo Tsubaki,0,8,1,MANGA
Hot Gimmick,0,54,12,MANGA
Psycho Busters,0,32,7,MANGA
Watashi Igai Jinrui Zeiin Yuri,0,11,2,MANGA
Warau Kanoko-sama,0,15,3,MANGA
Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe,0,46,7,NOVEL
Sora to Hara,0,9,1,MANGA
Kare First Love,0,58,10,MANGA
Bra Girl,0,8,1,MANGA
Fairy Tail: Blue Mistral,0,17,4,MANGA
Shinigami-sama ni Saigo no Onegai wo,0,18,4,MANGA
Sakura-Hime Kaden,0,51,12,MANGA
Ningen Shikkaku,0,24,3,MANGA
Nanatsu no Taizai: Edinburgh no Kyuuketsuki,0,3,0,MANGA
Hyakunichikan!!,0,54,4,MANGA
Hammer Session!,0,96,11,MANGA
Kunoichi no Ichi!,0,47,5,MANGA
Mayonaka no Oyatsu,0,5,1,MANGA
Higanbana no Saku Yoru ni,0,30,6,MANGA
Virgin Na Kankei,0,47,6,MANGA
Batou Shoujo,0,46,1,MANGA
Jiken-Jaken!,0,92,7,MANGA
Negative-kun to Positive-kun,0,9,1,MANGA
Winter Woods,0,129,7,MANGA
Neon Genesis Evangelion: Gakuen Datenroku,0,22,4,MANGA
Bulpyeonhan Jinsil,0,74,0,MANGA
Bokko,0,107,11,MANGA
Junai Tokkou Taichou!,0,53,13,MANGA
Warau Kyuuketsuki,0,19,2,MANGA
Warui Koto Shitai,0,7,1,MANGA
Misughan Pyohyeon,0,70,0,MANGA
Hiren Trip,0,8,2,MANGA
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo? Z,0,15,3,MANGA
Namida Usagi: Seifuku no Kataomoi,0,58,10,MANGA
Itou-kun wa Koi wo Shiranai.,0,17,3,MANGA
Seishun Otome Banchou!,0,13,3,MANGA
Omoi no Kakera,0,32,3,MANGA
Kobayashi ga Kawai Sugite Tsurai!!,0,76,15,MANGA
Shounen Note,0,40,8,MANGA
Sweet Poolside,0,8,1,MANGA
Pink,0,20,1,MANGA
Shibito no Koe wo Kiku ga Yoi,0,78,12,MANGA
Higanjima,0,330,33,MANGA
Ito Junji Kyoufu Manga Collection - Circus ga Kita,0,5,1,MANGA
IS: Infinite Stratos,0,26,5,MANGA
Gojikanme no Sensou,0,26,4,MANGA
Hanshin,0,1,0,ONE_SHOT
Thomas no Shinzou,0,8,3,MANGA
Nousatsu Junkie,0,96,16,MANGA
Sen to Man,0,33,3,MANGA
Chichi ga Loli na Mono de,0,12,2,MANGA
Rec: Kimi ga Naita Hi,0,6,1,MANGA
Hibi Chouchou x Hirunaka no Ryuusei,0,2,0,MANGA
Honeymoon Salad,0,41,5,MANGA
Chikyuu no Houkago,0,36,6,MANGA
Kimagure Orange Road,0,156,18,MANGA
Boku to Senpai no Tekken Kousai,0,19,4,MANGA
Rough,0,119,12,MANGA
Minimum,0,57,7,MANGA
Mahoutsukai (♂) to Deshi (♀) no Futekisetsu na Kankei,0,22,4,MANGA
Dragon Ball: Episode of Bardock,0,3,1,MANGA
BOZEBEATS,0,14,2,MANGA
Sprite,0,135,15,MANGA
Campione!,0,168,21,NOVEL
Zelda no Densetsu: Kamigami no Triforce (2005),0,4,1,MANGA
Sabaku no Harem,0,41,10,MANGA
Baketeriya,0,23,4,MANGA
Haruwaka,0,13,2,MANGA
Tripeace,0,43,11,MANGA
Robot,0,0,10,MANGA
ēlDLIVE,0,64,11,MANGA
Love Letter,0,4,1,MANGA
Love Junkies,0,221,26,MANGA
Kiraboshi Dial,0,6,1,MANGA
Zenryaku, Yuri no Sono yori,0,11,2,MANGA
Angel Beats! Track Zero,0,9,1,NOVEL
Kedamono Kareshi,0,88,13,MANGA
DNA²,0,43,5,MANGA
Maria†Holic,0,86,14,MANGA
My Fair Neighbor,0,5,1,MANGA
Strawberry Shake Sweet,0,17,2,MANGA
Densetsu no Yuusha no Konkatsu,0,15,4,MANGA
Akihabara Fall in Love,0,5,1,MANGA
"Aoi" Hikaru ga Chikyuu ni Ita koro......,0,15,3,MANGA
Sekai no Hate de Aimashou,0,49,8,MANGA
Tsujiura-san to Chupacabra,0,35,4,MANGA
Itokoi Chidori,0,16,2,MANGA
Choco Strawberry Vanilla,0,7,1,MANGA
Bungaku Shoujo,0,129,13,NOVEL
Torikago no Tsugai,0,21,4,MANGA
Musunde Hiraite,0,42,8,MANGA
8♀1♂,0,100,9,MANGA
Mononoke,0,19,2,MANGA
Ito Junji Kyoufu Manga Collection - Ijimetsu Musume,0,7,1,MANGA
+C: Sword and Cornett,0,52,8,MANGA
Usemono Yado,0,18,3,MANGA
Uragiri wa Boku no Namae wo Shitteiru,0,68,13,MANGA
Love Plus: Rinko Days,0,11,2,MANGA
Frogman,0,60,6,MANGA
Baka to Boing,0,54,5,MANGA
Yume Nikki,0,10,1,MANGA
Kono Yo no Owari e no Tabi,0,12,1,MANGA
Joou no Hana,0,44,15,MANGA
Log Horizon,0,10,1,MANGA
Jigoku Shoujo,0,41,9,MANGA
Cheese in the Trap Season 3,0,108,12,MANGA
Steins;Gate: Boukan no Rebellion,0,18,3,MANGA
Seifuku no Vampiress Lord,0,28,3,MANGA
Maker Hikoushiki Hatsune Mix,0,32,3,MANGA
Nyatto!,0,18,3,MANGA
Bokura ni Matsuwaru etc.,0,6,1,MANGA
Zui Wu Dao,0,54,9,MANGA
Shakugan no Shana,0,0,25,NOVEL
Jigokuren: Death Life,0,12,2,MANGA
Deep Love: Pao no Monogatari,0,11,2,MANGA
Gokutei Higuma,0,20,3,MANGA
Tadashikunai Renai no Susume,0,7,1,MANGA
S・L・H,0,20,5,MANGA
Kaichou-kun no Shimobe,0,24,4,MANGA
Roronoa Zoro: Umi ni Chiru,0,1,0,ONE_SHOT
Ashizuri Suizokukan,0,14,1,MANGA
Slow Motion wo Mou Ichido,0,64,7,MANGA
Gamers!,0,66,12,NOVEL
Guwonhasoseo,0,63,0,MANGA
Katanagatari,0,55,12,NOVEL
True Love,0,37,7,MANGA
Himitsu no Recipe,0,18,2,MANGA
Shibou to Iu Na no Fuku wo Kite,0,15,1,MANGA
Mikai no Hoshi,0,11,2,MANGA
Sabinuki Kanojo,0,14,1,MANGA
Glass no Megami,0,27,3,MANGA
Durarara!!: Saika-hen,0,12,3,MANGA
Boy♂Skirt,0,13,2,MANGA
Love Monster,0,82,12,MANGA
Kubikiri Asa,0,54,12,MANGA
Erementar Gerad,0,96,18,MANGA
Enami-kun wa Ikiru no ga Tsurai,0,20,3,MANGA
SS Sisters,0,31,5,MANGA
Yume Musubi, Koi Musubi,0,18,4,MANGA
Bloody†Mary,0,40,10,MANGA
Palepoli,0,4,1,MANGA
Saenai Heroine no Sodatekata: egoistic-lily,0,15,3,MANGA
Sundome!! Milky Way,0,0,0,MANGA
Bambi to Dhole,0,21,5,MANGA
Otokogokoro,0,7,1,MANGA
Girls und Panzer,0,21,4,MANGA
Bokura no Shokutaku,0,8,1,MANGA
Kanojo wa Kannou Shousetsuka,0,54,6,MANGA
Hai to Gensou no Grimgar,0,16,3,MANGA
Kurozuka,0,40,10,MANGA
Psycho Staff,0,7,1,MANGA
Seitokai Tantei Kirika,0,43,9,MANGA
Senyuu.,0,0,0,MANGA
Cirque Arachne,0,6,1,MANGA
Flying Witch,0,1,0,ONE_SHOT
Renai Manga,0,8,1,MANGA
Junketsu + Kareshi,0,47,10,MANGA
Crying Freeman,0,103,9,MANGA
Zoku Hoshi Mamoru Inu,0,4,1,MANGA
Golden Time,0,45,8,NOVEL
Soil,0,90,11,MANGA
Candy☆Boy,0,18,2,MANGA
Okobore Hime to Entaku no Kishi,0,17,3,MANGA
Koko ga Uwasa no El Palacio,0,53,7,MANGA
Kanojo ga Flag wo Oraretara,0,42,10,MANGA
Cutey Honey,0,24,2,MANGA
DoseI Mansion,0,64,7,MANGA
Sora Log,0,19,4,MANGA
Akuma de Sourou,0,42,11,MANGA
Deai-kei Site de Imouto to Deau Hanashi,0,31,2,MANGA
Amon: The Darkside of Devilman,0,41,6,MANGA
Jigoku no Alice,0,43,6,MANGA
Kono Koi wa Kore Ijou Kirei ni Naranai.,0,30,4,MANGA
Code Geass: Shikkoku no Renya,0,40,7,MANGA
Power!!,0,36,10,MANGA
Daisuki Datta yo, Sensei...,0,4,1,MANGA
Asebi to Sora Sekai no Boukensha,0,59,10,MANGA
W.O.W (Walk On Water),0,64,0,MANGA
Fushigi Yuugi: Genbu Kaiden,0,41,12,MANGA
Madan no Ou to Vanadis,0,95,18,NOVEL
Fukashigi Philia,0,16,3,MANGA
Blaster Knuckle,0,20,3,MANGA
Yomawari Sensei,0,45,9,MANGA
Mashima HERO'S,0,10,1,MANGA
Kiben Gakuha, Yotsuya-senpai no Kaidan.,0,22,3,MANGA
Helvetica Standard,0,75,2,MANGA
Ayame to Amane,0,41,1,MANGA
NanaKo Robin,0,12,3,MANGA
Vahlia no Hanamuko,0,4,1,MANGA
Aitsu no Daihonmei,0,50,11,MANGA
Zelda no Densetsu: Mugen no Sunadokei,0,12,1,MANGA
Hagane no Renkinjutsushi: Prototype,0,1,0,ONE_SHOT
Sensei Kunshu,0,57,13,MANGA
Osananajimi wa Onnanoko ni Naare,0,41,3,MANGA
B Reaction!,0,18,2,MANGA
Dolls Code,0,10,2,MANGA
Mahoraba,0,62,12,MANGA
Moyashimon,0,159,13,MANGA
Ame Nochi Hare,0,39,8,MANGA
Majo to Houki to Kurobuchi Megane,0,45,3,MANGA
Afro Samurai,0,10,2,MANGA
Kimi to Nadekko!,0,3,1,MANGA
Uchi no Maou Kamimasen yo,0,39,4,MANGA
Tenraku Akuma!,0,13,2,MANGA
Hundred,0,13,2,MANGA
Hotel: since 2079,0,1,0,ONE_SHOT
Ookami-heika no Hanayome,0,105,19,MANGA
Imadoki!,0,26,5,MANGA
Im,0,45,11,MANGA
Onegai Teacher,0,14,2,MANGA
Hamatora The Comic,0,20,3,MANGA
Happy Negative Marriage,0,33,5,MANGA
Kaimetsuou to 12-nin no Hoshi no Miko,0,31,6,MANGA
Harapeko Usagi to Koisuru Ookami,0,6,1,MANGA
Shinigamihime no Saikon,0,14,3,MANGA
Hoshi to Kuzu: Don't Worry, Be Happy!,0,16,4,MANGA
Gokicha,0,70,5,MANGA
LASBOSS×HERO,0,19,4,MANGA
Boruto: Naruto the Movie Tokubetsu Bangai-hen - Naruto ga Hokage ni Natta Hi,0,1,0,ONE_SHOT
Boku to Kanojo no XXX,0,62,8,MANGA
Geujib, Sajeong,0,74,0,MANGA
Strawberry Panic!,0,14,2,MANGA
Boku ni Koisuru Mechanical,0,14,3,MANGA
Kizu,0,4,1,MANGA
Beatless: Dystopia,0,12,2,MANGA
Ikkitousen,0,187,24,MANGA
Secret,0,18,3,MANGA
Bokutachi wa Shitte Shimatta,0,60,14,MANGA
Amigara Dansou no Kai,0,1,0,ONE_SHOT
Bukiyou na Silent,0,23,6,MANGA
Lovely★Complex Two,0,5,1,MANGA
Zero In,0,75,12,MANGA
Aku No Higan,0,37,4,MANGA
Destroy and Revolution,0,76,9,MANGA
Osoroshii Koroshi-ya no Hanashi,0,10,0,MANGA
Renai Idenshi XX,0,17,2,MANGA
Hello Baby,0,1,0,ONE_SHOT
Nanashi no Asterism,0,23,5,MANGA
Dansai Bunri no Crime Edge,0,62,11,MANGA
Sonna Me de Mitekure,0,7,1,MANGA
Karakuri Odette,0,35,6,MANGA
Pietà,0,6,2,MANGA
Ayu Mayu,0,29,5,MANGA
E? Heibon Desu yo??,0,18,3,MANGA
Memesis,0,45,4,MANGA
Toaru Majutsu no Index SS,0,28,2,NOVEL
Sakura Gari,0,9,3,MANGA
Usotsuki Paradox,0,75,10,MANGA
Itadakimasu, Gochisousama,0,6,1,MANGA
Iinari Princess,0,9,1,MANGA
Dosanko Gyaru wa Namaramenkoi,0,1,0,ONE_SHOT
Bimajo no Ayano-san,0,63,2,MANGA
Netsutai no Citron,0,15,2,MANGA
Steins;Gate Onshuu no Brownian Motion,0,11,2,MANGA
Ilegenes: Kokuyou no Kiseki,0,30,5,MANGA
Kieli,0,7,2,MANGA
Koishite Daddy,0,6,1,MANGA
Cherry Boy, That Girl,0,110,0,MANGA
Endo Hiroki Tanpenshuu,0,7,2,MANGA
Girls Saurus,0,17,3,MANGA
Trinity Wonder,0,102,0,MANGA
Aoi Haru,0,7,1,MANGA
Rurouni Kenshin: Yahiko no Sakabatou,0,1,0,ONE_SHOT
Toshishita no Otokonoko,0,18,3,MANGA
Tomodachi wo Tsukurou.,0,350,2,MANGA
ST&RS,0,39,5,MANGA
Sojou no Koi wa Nido Haneru,0,4,1,MANGA
Shibatora,0,131,15,MANGA
Kimi ga Kirai na Koi no Hanashi,0,8,2,MANGA
70 Oku no Hari,0,24,4,MANGA
Noragami: Awase Kagami,0,2,1,MANGA
Akkan Baby,0,12,3,MANGA
Love Rush!,0,15,2,MANGA
Haibane Renmei,0,4,0,MANGA
Anne Freaks,0,24,4,MANGA
Jin,0,137,20,MANGA
Ad Astra: Scipio to Hannibal,0,81,13,MANGA
ACCA: 13-ku Kansatsu-ka,0,37,6,MANGA
All Around Type-Moon,0,10,2,MANGA
Clannad: Tomoyo After - Dear Shining Memories,0,4,1,MANGA
Nagareboshi Lens,0,56,10,MANGA
School Rumble Z,0,10,1,MANGA
Freezing: Zero,0,38,9,MANGA
Kusanagi-sensei wa Tamesareteiru,0,31,3,MANGA
Gokinjo Monogatari,0,33,7,MANGA
Ouji no Kikan,0,10,1,MANGA
Akame ga Kill! 1.5,0,4,1,MANGA
Hakushaku Cain Series,0,25,5,MANGA
Akai Ito,0,39,9,MANGA
Muhyo to Rouji no Mahoritsu Soudan Jimusou,0,159,18,MANGA
Rakia,0,50,5,MANGA
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,0,79,11,NOVEL
Kiriko,0,5,1,MANGA
Major,0,747,78,MANGA
Nanairo Sekai,0,4,1,MANGA
Chocolate to Kase-san.,0,1,0,MANGA
Chichi Kogusa,0,49,8,MANGA
Philosophia,0,6,1,MANGA
Mayo Chiki!,0,73,12,NOVEL
Kami nomi zo Shiru Sekai - On the Train,0,16,1,MANGA
Fujoshi Kanojo.,0,21,5,MANGA
Nozomu Nozomi,0,15,2,MANGA
Copernicus no Kokyuu,0,13,2,MANGA
Suashi no Meteorite,0,21,5,MANGA
Mononoke◇Sharing,0,34,4,MANGA
Blood Parade,0,12,2,MANGA
2001-ya Monogatari,0,20,3,MANGA
Uwasa no Midori-Kun!!,0,51,10,MANGA
Happiness,0,9,1,MANGA
Hoozuki no Reitetsu,0,0,0,MANGA
Mama wa Doukyuusei,0,40,4,MANGA
Sora Yori Mo Tooi Basho,0,17,3,MANGA
Unlucky Boy Undead Girl,0,1,0,ONE_SHOT
Rock Lee no Seishun Full-Power Ninden,0,39,7,MANGA
Fate/Extra,0,41,6,MANGA
Watashi no Fushidara,0,13,2,MANGA
Simyeonui Haneul,0,113,10,MANGA
Sougou Tovarisch,0,13,3,MANGA
Stop!! Hibari-kun!,0,53,4,MANGA
B Group no Shounen X,0,22,3,MANGA
Kuchibiru ni Saketa Orange,0,8,1,MANGA
The Friendly Winter,0,64,1,MANGA
Higurashi no Naku Koro ni Onisarashi-hen,0,8,2,MANGA
Ore to Joushi no Kakushigoto,0,7,1,MANGA
Chihou Kishi Hans no Junan,0,0,0,MANGA
Dansan Joshi,0,83,6,MANGA
100 Dollar wa Yasu Sugiru,0,1,0,ONE_SHOT
Azumanga Daioh: Hoshuu-hen,0,3,0,MANGA
Kiniro no Corda,0,75,17,MANGA
XO Sisters,0,17,3,MANGA
Rin,0,41,14,MANGA
Kingyo Sou,0,8,2,MANGA
AI ga Tomaranai!,0,55,9,MANGA
Guilty Crown,0,26,7,MANGA
Kabe ni Mary.com,0,14,2,MANGA
Lucky Number 13,0,13,2,MANGA
Hanikamu Honey,0,0,10,MANGA
Gunjou,0,36,3,MANGA
Dolls Fall,0,24,4,MANGA
Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Subarashii Sekai ni Bakuen wo!,0,15,3,NOVEL
Ai Hime ~ Ai to Himegoto,0,13,3,MANGA
Claudine...!,0,4,1,MANGA
Naruto Hiden Series,0,49,6,NOVEL
Ore no Kouhai ga Konna ni Kawaii Wake ga Nai,0,44,6,MANGA
Hitsugi Katsugi no Kuro. - Kaichu Tabi no Wa,0,86,7,MANGA
Zippy Ziggy,0,86,11,MANGA
Jorge Joestar,0,16,1,NOVEL
Haru-nee ga Boku ni xx Suru Riyuu,0,11,2,MANGA
Anorexia: Shikabane Hanako wa Kyoshokushou,0,11,2,MANGA
Good Morning Call,0,56,11,MANGA
Houou Gakuen MiSORA-gumi,0,22,4,MANGA
Bousou Shojo,0,109,10,MANGA
Umareru Kachi no Nakatta Jibun ga Anna no Tame ni Dekiru Ikutsuka no Koto,0,21,3,MANGA
Stealth Symphony,0,22,3,MANGA
24 Jikan Eigyouchuu,0,8,1,MANGA
Momokuri,0,118,8,MANGA
Gugure! Kokkuri-san,0,114,12,MANGA
Bye-bye Liberty,0,18,4,MANGA
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,0,18,4,MANGA
Himari no Mawari,0,20,3,MANGA
Tumyeonghan Donggeo,0,47,3,MANGA
Ebisu-san to Hotei-san,0,5,1,MANGA
Monogatari Series: Off Season,0,155,4,NOVEL
Kyuusen no Shima,0,12,2,MANGA
Kyoukaisenjou no Horizon,0,872,29,NOVEL
Film Girl,0,10,2,MANGA
Blood-C,0,17,4,MANGA
Love Roma,0,34,5,MANGA
Captain Tsubasa,0,114,37,MANGA
Ningyo Ouji,0,6,1,MANGA
Adelaide's La Dolce Vita,0,86,0,MANGA
Nejimaki Seirei Senki: Tenkyou no Alderamin,0,59,14,NOVEL
Kiss My Ass,0,12,2,MANGA
Tough,0,426,39,MANGA
Love Lucky!,0,63,7,MANGA
Saitama Chainsaw Shoujo,0,6,1,MANGA
Freezing: First Chronicle,0,4,1,MANGA
Shin Devilman,0,5,1,MANGA
Kirai ja Nai kedo,0,6,1,MANGA
Parallel,0,20,4,MANGA
Wanko ni Kuchizuke,0,24,6,MANGA
Q,0,20,4,MANGA
Aiki-S,0,61,9,MANGA
Mikami-sensei no Aishikata,0,31,8,MANGA
Ann Cassandra,0,8,2,MANGA
Violence Jack,0,0,18,MANGA
Doushiyoumo Nai Keredo,0,14,2,MANGA
Akuma to Dolce,0,9,2,MANGA
Rappi Rangai,0,48,9,MANGA
Bloody Junkie,0,9,2,MANGA
Hana to Rakurai,0,8,2,MANGA
Saijou no Meii,0,103,11,MANGA
AAA,0,15,4,MANGA
IO,0,55,10,MANGA
Bleach: Jigoku-hen Special - The Unforgivens,0,1,0,ONE_SHOT
Ningyo Series,0,16,3,MANGA
Rengoku Deadroll,0,24,6,MANGA
Studio Jjabjjorom,0,66,4,MANGA
Mahou Shoujo Madoka★Magica: Majuu-hen,0,9,3,MANGA
Ichikawa Haruko Sakuhinshuu,0,9,2,MANGA
Joshiraku,0,53,6,MANGA
-Hitogatana-,0,76,11,MANGA
Shark na Kanojo no Territory,0,8,1,MANGA
Becchin to Mandala,0,14,1,MANGA
Hen na Chishiki ni Kuwashii Kanojo Takayakashiki Souko-san,0,84,5,MANGA
Okosama Star,0,15,3,MANGA
Junjou Drop,0,5,1,MANGA
Watashi no Messiah-sama,0,61,13,MANGA
Orenchi no Furo Jijo,0,0,8,MANGA
Kakumei no Hi,0,10,2,MANGA
:REverSAL,0,13,2,MANGA
Komorebi no Kuni,0,39,4,MANGA
Time Stranger Kyoko,0,16,3,MANGA
Touhou Sangetsusei: Eastern and Little Nature Deity,0,5,1,MANGA
Karada Sagashi,0,151,17,MANGA
Mushihime,0,24,3,MANGA
Koiwazurai no Ellie,0,46,12,MANGA
Corpse Party: Another Child,0,18,3,MANGA
Pichi Pichi Pitch: Mermaid Melody,0,35,7,MANGA
Mazinger Z,0,33,5,MANGA
Gantz/Nishi,0,1,0,ONE_SHOT
Dokgo,0,90,0,MANGA
Hana Haru,0,113,0,MANGA
Hyakumanjou Labyrinth,0,23,2,MANGA
Ichinensei ni Nacchattara,0,61,9,MANGA
Akaya Akashiya Ayakashino,0,55,10,MANGA
Yuri Hime Wildrose,0,75,8,MANGA
Jump Super Stars,0,1,0,ONE_SHOT
Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne,0,75,7,MANGA
Ame no Hi no Iris,0,5,1,NOVEL
Junsui Adolescence,0,8,1,MANGA
Jinrou Game: Beast Side,0,18,3,MANGA
Inumimi,0,19,3,MANGA
Ojou-sama wa Nigedashita,0,26,3,MANGA
Aneun Saram Iyagi,0,60,4,MANGA
Nakanmon!,0,16,4,MANGA
Akane-chan Overdrive,0,10,2,MANGA
Gosick,0,28,8,MANGA
Sore wa Tada no Senpai no Chinko,0,9,1,MANGA
Kimi no Na wa. Another Side: Earthbound,0,4,1,NOVEL
Kazoku ni Narouyo,0,6,1,MANGA
Onii-sama e...,0,19,3,MANGA
Ai Rabu Yuu Yori Aishiteru,0,5,1,MANGA
Yukuyuku Futari,0,12,1,MANGA
Sword Art Online: Phantom Bullet,0,12,3,MANGA
Shunkan Gradation,0,25,4,MANGA
Maou-sama to Kekkonshitai,0,1,0,ONE_SHOT
Ookumo-chan Flash Back,0,34,6,MANGA
Oku-sama wa Joshi Kousei,0,143,13,MANGA
Lip Smoke,0,4,1,MANGA
B.O.D.Y.,0,60,15,MANGA
