Title,Score,Progress,Type
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,0,12,TV
K,0,13,TV
Barakamon,0,12,TV
Sword Art Online Movie: Ordinal Scale,0,1,Movie
Accel World,0,24,TV
Magi: The Kingdom of Magic,0,25,TV
K-ON!!,0,26,TV
Sword Art Online Alternative: Gun Gale Online,0,12,TV
orange,0,13,TV
Yuri!!! on Ice,0,12,TV
Fairy Tail (2014),0,102,TV
Toaru Kagaku no Railgun,0,24,TV
Zero no Tsukaima,0,13,TV
Himouto! Umaru-chan,0,12,TV
Akatsuki no Yona,0,24,TV
Gamers!,0,12,TV
Saenai Heroine no Sodatekata,0,13,TV
Katanagatari,0,12,TV
Akagami no Shirayuki-hime,0,12,TV
Houseki no Kuni,0,12,TV
Trigun,0,26,TV
Gakkou Gurashi!,0,12,TV
Summer Wars,0,1,Movie
To LOVE-Ru,0,26,TV
Tsuki ga Kirei,0,12,TV
Musaigen no Phantom World,0,13,TV
Koukaku Kidoutai,0,1,Movie
Mekakucity Actors,0,12,TV
Shinmai Maou no Testament,0,12,TV
Bakuman.,0,25,TV
Date A Live II,0,10,TV
Megalo Box,0,13,TV
Durarara!!x2 Shou,0,12,TV
Domestic na Kanojo,0,12,TV
Tokyo Ghoul:re 2,0,12,TV
Sankarea,0,12,TV
Rosario to Vampire,0,13,TV
Shingeki no Bahamut: GENESIS,0,12,TV
Evangelion Shin Movie: Jo,0,1,Movie
Toaru Kagaku no Railgun S,0,24,TV
Maoyuu Maou Yuusha,0,12,TV
D-Frag!,0,12,TV
Dragon Ball GT,0,64,TV
Pocket Monsters,0,276,TV
Kenja no Mago,0,12,TV
Fairy Tail (2018),0,51,TV
Koukyoushihen Eureka Seven,0,50,TV
Isekai Quartet,0,12,TV
Hitsugi no Chaika,0,12,TV
Sousei no Onmyouji,0,50,TV
Fate/stay night [Heaven's Feel] I. presage flower,0,1,Movie
Kenpuu Denki Berserk,0,25,TV
Kiss x Sis (TV),0,12,TV
Paprika,0,1,Movie
Hellsing,0,13,TV
Sora no Otoshimono,0,13,TV
Tokyo Ravens,0,24,TV
Jibaku Shounen Hanako-kun,0,12,TV
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,0,12,TV
Keijo!!!!!!!!,0,12,TV
Mousou Dairinin,0,13,TV
Dakara Boku wa, H ga Dekinai.,0,12,TV
No.6,0,11,TV
Mirai Nikki: Redial,0,1,OVA
Saenai Heroine no Sodatekata ♭,0,12,TV
Aldnoah.Zero 2,0,12,TV
Cardcaptor Sakura,0,70,TV
Black★Rock Shooter (TV),0,8,TV
Kuroshitsuji II,0,12,TV
Yagate Kimi ni Naru,0,13,TV
Arslan Senki,0,25,TV
Dimension W,0,12,TV
Zero no Tsukaima: Princesses no Rondo,0,12,TV
Kore wa Zombie Desu ka? of the Dead,0,10,TV
NANA,0,47,TV
Irozuku Sekai no Ashita kara,0,13,TV
Girls und Panzer,0,12,TV
Fate/kaleid liner Prisma☆Illya,0,10,TV
B: The Beginning,0,12,ONA
Ishuzoku Reviewers,0,12,TV
Sakura Trick,0,12,TV
Pandora Hearts,0,25,TV
Mahoutsukai no Yome: Hoshi Matsu Hito,0,3,OVA
ReLIFE Kanketsu-hen,0,4,OVA
Kakushigoto,0,12,TV
Kono Bijutsu-bu ni wa Mondai ga Aru!,0,12,TV
Kimi ni Todoke 2nd Season,0,12,TV
Shingeki no Kyojin Gaiden: Kuinaki Sentaku,0,2,OVA
Quanzhi Gaoshou,0,12,ONA
Golden Kamuy,0,12,TV
Boogiepop wa Warawanai,0,18,TV
Hibike! Euphonium 2,0,13,TV
One Punch Man: Road to Hero,0,1,OVA
Noragami OVA,0,2,OVA
Kaze no Stigma,0,24,TV
Stranger: Mukoh Hadan,0,1,Movie
Bakuman. 2,0,25,TV
BNA,0,12,ONA
Shinmai Maou no Testament: BURST,0,10,TV
Kishuku Gakkou no Juliet,0,12,TV
Tokyo Magnitude 8.0,0,11,TV
Tada-kun wa Koi wo Shinai,0,13,TV
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,0,13,TV
Motto To LOVE-Ru,0,12,TV
Persona 5 The Animation,0,26,TV
Zero kara Hajimeru Mahou no Sho,0,12,TV
Azumanga Daioh,0,26,TV
Kokoro Connect: Michi Random,0,4,OVA
C: The Money of Soul and Possibility Control,0,11,TV
Hunter x Hunter,0,62,TV
Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne!,0,12,TV
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,0,4,OVA
Mangaka-san to Assistant-san to,0,12,TV
Working'!!,0,13,TV
Death Billiards,0,1,Movie
Madan no Ou to Vanadis,0,13,TV
Angel Beats! Specials,0,2,Special
Punch Line,0,12,TV
Ryuugajou Nanana no Maizoukin,0,11,TV
Taimadou Gakuen 35 Shiken Shoutai,0,12,TV
Hundred,0,12,TV
Bishoujo Senshi Sailor Moon,0,46,TV
Kamisama no Memochou,0,12,TV
Mayoiga,0,12,TV
Kara no Kyoukai: Satsujin Kousatsu (Zen),0,1,Movie
3D Kanojo: Real Girl,0,12,TV
Nodame Cantabile,0,23,TV
Nanbaka,0,13,TV
Violet Evergarden Special,0,1,OVA
Watashi ga Motete Dousunda,0,12,TV
Okusama ga Seitokaichou!,0,12,TV
Seto no Hanayome,0,26,TV
K: Return Of Kings,0,13,TV
Dorohedoro,0,12,TV
Little Witch Academia: Mahou-jikake no Parade,0,1,Movie
ChäoS;HEAd,0,12,TV
Initial D,0,26,TV
Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen,0,1,OVA
Dragon Ball Kai,0,97,TV
Seikon no Qwaser,0,24,TV
Kara no Kyoukai: Tsuukaku Zanryuu,0,1,Movie
World Trigger,0,73,TV
WHITE ALBUM 2,0,13,TV
Phantom: Requiem for the Phantom,0,26,TV
Beck,0,26,TV
School Rumble,0,26,TV
Kamisama no Inai Nichiyoubi,0,12,TV
Isekai Cheat Magician,0,12,TV
Nande Koko ni Sensei ga!?,0,12,TV
Binbougami ga!,0,13,TV
Hanebado!,0,13,TV
Fate/EXTRA Last Encore,0,13,TV
Tonari no Seki-kun,0,21,TV
Ore ga Ojou-sama Gakkou ni "Shomin Sample" Toshite Gets-Sareta Ken,0,12,TV
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,0,12,TV
Kaze Tachinu,0,1,Movie
Seiken Tsukai no World Break,0,12,TV
Yuru Yuri♪♪,0,12,TV
Yuragi-sou no Yuuna-san,0,12,TV
Jitsu wa Watashi wa,0,13,TV
Soredemo Sekai wa Utsukushii,0,12,TV
Kara no Kyoukai: Garan no Dou,0,1,Movie
Mahou Shoujo Site,0,12,TV
Grancrest Senki,0,24,TV
Ajin 2,0,13,TV
Comic Girls,0,12,TV
Ousama Game The Animation,0,12,TV
Sidonia no Kishi,0,12,TV
Texhnolyze,0,22,TV
Grisaia no Meikyuu,0,1,Special
Joker Game,0,12,TV
Boku no Kanojo ga Majime Sugiru Shoujo Bitch na Ken,0,10,TV
Ore no Imouto ga Konna ni Kawaii Wake ga Nai (ONA),0,4,ONA
Hachimitsu to Clover,0,24,TV
Isekai Shokudou,0,12,TV
High Score Girl,0,12,TV
Freezing,0,12,TV
Pocket Monsters: The Origin,0,4,Special
Dragon Ball Super: Broly,0,1,Movie
Afro Samurai,0,5,TV
Maji de Watashi ni Koi Shinasai!,0,12,TV
Code:Breaker,0,13,TV
Fate/Grand Order -First Order-,0,1,Special
Kino no Tabi -the Beautiful World- the Animated Series,0,12,TV
Gankutsuou,0,24,TV
Karakai Jouzu no Takagi-san 2,0,12,TV
Fairy Gone,0,12,TV
Mahou Sensou,0,12,TV
Nazo no Kanojo X,0,13,TV
Shuumatsu no Izetta,0,12,TV
Youjo Senki Movie,0,1,Movie
Mahou Shoujo Madoka☆Magica Movie: Hajimari no Monogatari,0,1,Movie
Chuunibyou demo Koi ga Shitai!: Take on Me,0,1,Movie
Rikei ga Koi ni Ochita no de Shoumei shitemita.,0,12,ONA
No Guns Life,0,12,TV
So Ra No Wo To,0,12,TV
Shaman King,0,64,TV
K: Missing Kings,0,1,Movie
Kämpfer,0,12,TV
Danna ga Nani wo Itteiru ka Wakaranai Ken 2-sure-me,0,13,TV
Shoujo Kakumei Utena,0,39,TV
Densetsu no Yuusha no Densetsu,0,24,TV
Tenrou: Sirius the Jaeger,0,12,TV
Mahou Shoujo Madoka☆Magica Movie: Eien no Monogatari,0,1,Movie
Rewrite,0,13,TV
GJ-bu,0,12,TV
Boku no Hero Academia the Movie: Heroes Rising,0,1,Movie
Sakura Quest,0,25,TV
MM!,0,12,TV
Big Order,0,10,TV
Gantz,0,13,TV
The Idolm@ster,0,25,TV
Kara no Kyoukai: Satsujin Kousatsu (Kou),0,1,Movie
Hitsugi no Chaika: Avenging Battle,0,10,TV
Diamond no Ace,0,75,TV
Wolf's Rain,0,26,TV
xxxHOLiC,0,24,TV
Rail Wars!,0,12,TV
Ga-Rei-Zero,0,12,TV
Shinryaku! Ika Musume,0,12,TV
Watashi ni Tenshi ga Maiorita!,0,12,TV
Kara no Kyoukai: Boukyaku Rokuon,0,1,Movie
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku: Kitto, Onnanoko wa Osatou to Spice to Suteki na Nanika de Dekiteiru,0,1,OVA
Pocket Monsters: Mewtwo no Gyakushuu,0,1,Movie
Knight's & Magic,0,13,TV
Midara na Ao-chan wa Benkyou ga Dekinai,0,12,TV
Yuuki Yuuna wa Yuusha de Aru,0,12,TV
Boku no Hero Academia OVA,0,2,OVA
To LOVE-Ru Darkness 2nd,0,12,TV
Masou Gakuen HxH,0,12,TV
Shakugan no Shana III (Final),0,24,TV
Koi to Senkyo to Chocolate,0,12,TV
Special A,0,24,TV
Yowamushi Pedal,0,38,TV
Full Metal Panic? Fumoffu,0,12,TV
ARIA The ANIMATION,0,13,TV
Subete ga F ni Naru: The Perfect Insider,0,11,TV
Seiren,0,12,TV
Tiger & Bunny,0,25,TV
Kumo no Mukou, Yakusoku no Basho,0,1,Movie
Radiant,0,21,TV
Toaru Kagaku no Accelerator,0,12,TV
Fate/stay night: Unlimited Blade Works (Movie),0,1,Movie
Maken-Ki!,0,12,TV
selector infected WIXOSS,0,12,TV
Darker than BLACK: Kuro no Keiyakusha Gaiden,0,4,Special
Boku-tachi wa Benkyou ga Dekinai!,0,13,TV
Kidou Senshi Gundam: Tekketsu no Orphans,0,25,TV
Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?,0,1,Movie
Nyan Koi!,0,12,TV
Aoharu x Kikanjuu,0,12,TV
Fate/kaleid liner Prisma☆Illya 2wei!,0,10,TV
Shuffle!,0,24,TV
Kuusen Madoushi Kouhosei no Kyoukan,0,12,TV
Black Lagoon: Roberta's Blood Trail,0,5,OVA
Ao no Exorcist Movie,0,1,Movie
Mahou Shoujo Ikusei Keikaku,0,12,TV
Sarazanmai,0,11,TV
Ushio to Tora,0,26,TV
Omoide no Marnie,0,1,Movie
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,0,13,TV
Kobayashi-san Chi no Maidragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai,0,1,OVA
Nourin,0,12,TV
Hyouka: Motsubeki Mono wa,0,1,OVA
Hoshi wo Ou Kodomo,0,1,Movie
Kuragehime,0,11,TV
Isekai Quartet 2,0,12,TV
Ryuuou no Oshigoto!,0,12,TV
ACCA: 13-ku Kansatsu-ka,0,12,TV
Lord El-Melloi II-sei no Jikenbo: "Rail Zeppelin" Grace note,0,13,TV
Haikyuu!! Riku VS Kuu,0,2,OVA
Haiyore! Nyaruko-san W,0,12,TV
GRANBLUE FANTASY The Animation,0,13,TV
Uchi no Ko no Tame Naraba, Ore wa Moshikashitara Maou mo Taoseru Kamo Shirenai.,0,12,TV
Senryuu Shoujo,0,12,TV
Senki Zesshou Symphogear,0,13,TV
Kamisama Hajimemashita◎,0,12,TV
Servamp,0,12,TV
Aku no Hana,0,13,TV
Doukyonin wa Hiza, Tokidoki, Atama no Ue.,0,12,TV
Uchuu Kyoudai,0,99,TV
Canaan,0,13,TV
Sabagebu!,0,12,TV
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,0,12,TV
SKET DANCE,0,77,TV
Choujigen Game Neptune: The Animation,0,12,TV
Seitokai no Ichizon,0,12,TV
Rokujouma no Shinryakusha!?,0,12,TV
Nurarihyon no Mago,0,24,TV
Cross Ange: Tenshi to Ryuu no Rondo,0,25,TV
Dragon Ball Z Movie: Kami to Kami,0,1,Movie
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,0,14,TV
Full Metal Panic! The Second Raid,0,13,TV
Michiko to Hatchin,0,22,TV
TARI TARI,0,13,TV
Oshiete! Galko-chan,0,12,TV
Papa no Iukoto wo Kikinasai!,0,12,TV
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka: Orion no Ya,0,1,Movie
BEATLESS,0,24,TV
Ore, Twintail ni Narimasu.,0,12,TV
Joukamachi no Dandelion,0,12,TV
Kono Naka ni Hitori, Imouto ga Iru!,0,12,TV
One Outs,0,25,TV
Urara Meirochou,0,12,TV
Gugure! Kokkuri-san,0,12,TV
Tokyo ESP,0,12,TV
Diabolik Lovers,0,12,TV
Baccano! Specials,0,3,Special
Kuroko no Basket: Last Game,0,1,Movie
Tokyo Ghoul: JACK,0,1,OVA
Terra Formars,0,13,TV
Sekai Seifuku: Bouryaku no Zvezda,0,12,TV
Kareshi Kanojo no Jijou,0,26,TV
Kanokon,0,12,TV
Kakumeiki Valvrave,0,12,TV
Ore no Imouto ga Konna ni Kawaii Wake ga Nai. (ONA),0,3,ONA
Devils' Line,0,12,TV
Hayate no Gotoku!,0,52,TV
Glasslip,0,13,TV
Pupa,0,12,TV
AMNESIA,0,12,TV
K-ON!: Live House!,0,1,OVA
Kono Sekai no Katasumi ni,0,1,Movie
Tsuritama,0,12,TV
Road to Ninja: Naruto the Movie,0,1,Movie
Kanojo ga Flag wo Oraretara,0,13,TV
Date A Live: Date to Date,0,1,OVA
Shingeki no Kyojin: Lost Girls,0,3,OVA
Neko no Ongaeshi,0,1,Movie
Island,0,12,TV
true tears,0,13,TV
Clockwork Planet,0,12,TV
Hataage! Kemono Michi,0,12,TV
Seikoku no Dragonar,0,12,TV
Kyoukaisenjou no Horizon,0,13,TV
No Game No Life Specials,0,6,Special
Maou-sama, Retry!,0,12,TV
Love Hina,0,24,TV
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,0,1,Special
Hakata Tonkotsu Ramens,0,12,TV
Dog Days,0,13,TV
Toradora!: Bentou no Gokui,0,1,OVA
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,0,1,OVA
Gi(a)rlish Number,0,12,TV
Eve no Jikan,0,6,ONA
Konohana Kitan,0,12,TV
Umineko no Naku Koro ni,0,26,TV
Zutto Mae Kara Suki Deshita.: Kokuhaku Jikkou Iinkai,0,1,Movie
Joshiraku,0,13,TV
Qualidea Code,0,12,TV
Aoi Bungaku Series,0,12,TV
Durarara!! Specials,0,2,Special
Shijou Saikyou no Deshi Kenichi,0,50,TV
Soul Eater Not!,0,12,TV
Babylon,0,12,TV
Vampire Knight Guilty,0,13,TV
Omamori Himari,0,12,TV
Seirei no Moribito,0,26,TV
Osomatsu-san,0,25,TV
Charlotte: Tsuyoimono-tachi,0,1,Special
Kurenai no Buta,0,1,Movie
Minami-ke,0,13,TV
Aoki Hagane no Arpeggio: Ars Nova,0,12,TV
Junketsu no Maria,0,12,TV
Hetalia Axis Powers,0,52,ONA
Gakuen Babysitters,0,12,TV
Saikin, Imouto no Yousu ga Chotto Okashiinda ga.,0,12,TV
Kono Oto Tomare!,0,13,TV
Detroit Metal City,0,12,OVA
Heavy Object,0,24,TV
Azur Lane,0,12,TV
Sennen Joyuu,0,1,Movie
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka: Dungeon ni Onsen wo Motomeru no wa Machigatteiru Darou ka,0,1,OVA
Shokugeki no Souma: Ni no Sara OVA,0,2,OVA
C³,0,12,TV
Osake wa Fuufu ni Natte kara,0,13,TV
FLCL Progressive,0,6,TV
Black Cat,0,23,TV
Space☆Dandy 2,0,13,TV
Strike Witches,0,12,TV
Re:_HAMATORA,0,12,TV
Sakurada Reset,0,24,TV
Sounan desu ka?,0,12,TV
Gyakkyou Burai Kaiji: Hakairoku-hen,0,26,TV
Ao no Kanata no Four Rhythm,0,12,TV
11eyes,0,12,TV
Fate/kaleid liner Prisma☆Illya 2wei Herz!,0,10,TV
Liz to Aoi Tori,0,1,Movie
Digimon Adventure 02,0,50,TV
Another: The Other - Inga,0,1,OVA
Top wo Nerae! Gunbuster,0,6,OVA
Genshiken,0,12,TV
Nekopara,0,12,TV
Black★Rock Shooter (OVA),0,1,OVA
Divine Gate,0,12,TV
Gochuumon wa Usagi Desu ka??,0,12,TV
Tsugumomo,0,12,TV
Devil Survivor 2 The Animation,0,13,TV
Aggressive Retsuko (ONA),0,10,ONA
Kaguya-hime no Monogatari,0,1,Movie
Princess Connect! Re:Dive,0,13,TV
Sekirei: Pure Engagement,0,13,TV
Berserk: Ougon Jidaihen I - Haou no Tamago,0,1,Movie
Kidou Senshi Gundam 00,0,25,TV
Samurai Flamenco,0,22,TV
WWW.WORKING!!,0,13,TV
Prince Of Stride: Alternative,0,12,TV
Naruto Shippuuden the Movie,0,1,Movie
Dance in the Vampire Bund,0,12,TV
Cop Craft,0,12,TV
Naruto the Movie: Dai Katsugeki! Yuki Hime Shinobu Houjou Dattebayo!!,0,1,Movie
Colorful (Movie),0,1,Movie
Devil May Cry,0,12,TV
Itsudatte Bokura no Koi wa 10cm datta,0,6,TV
Denki-Gai no Honya-san,0,12,TV
Ladies versus Butlers!,0,12,TV
Chio-chan no Tsuugakuro,0,12,TV
Hanayamata,0,12,TV
Inferno Cop,0,13,ONA
Love Stage!!,0,10,TV
Gunslinger Girl,0,13,TV
Yozakura Quartet: Hana no Uta,0,13,TV
Dennou Coil,0,26,TV
Yu☆Gi☆Oh! Duel Monsters GX,0,180,TV
Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!,0,12,TV
Slam Dunk,0,101,TV
Love Live! The School Idol Movie,0,1,Movie
Yuru Yuri San☆Hai!,0,12,TV
Bokusatsu Tenshi Dokuro-chan,0,4,OVA
Date A Live Movie: Mayuri Judgement,0,1,Movie
Ranma ½,0,161,TV
Hoshiai no Sora,0,12,TV
To LOVE-Ru OVA,0,6,OVA
Tales of Zestiria the X 2,0,13,TV
Harukana Receive,0,12,TV
Killing Bites,0,12,TV
Kaiba,0,12,TV
High School DxD Specials,0,6,Special
Emiya-san Chi no Kyou no Gohan,0,13,ONA
Bleach: Memories of Nobody,0,1,Movie
Bungou Stray Dogs: DEAD APPLE,0,1,Movie
Nisekoi OVA,0,3,OVA
Nijiiro Days,0,24,TV
Maria†Holic,0,12,TV
Asobi ni Iku yo!,0,12,TV
Alice to Zouroku,0,12,TV
Denpa Teki na Kanojo,0,2,OVA
Baki,0,26,ONA
Higashi no Eden Movie I: The King of Eden,0,1,Movie
Bokurano,0,24,TV
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,0,1,Movie
Little Busters!: Refrain,0,13,TV
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,0,1,OVA
Jormungand: Perfect Order,0,12,TV
Yu☆Gi☆Oh!,0,27,TV
Fairy Tail Movie: Houou no Miko,0,1,Movie
Akiba's Trip: The Animation,0,13,TV
Tokyo Ghoul: Pinto,0,1,OVA
Dagashi Kashi 2,0,12,TV
Inari, Konkon, Koi Iroha.,0,10,TV
Shin Seiki Evangelion Gekijouban: Shi to Shinsei,0,1,Movie
Machikado Mazoku,0,12,TV
Nagato Yuki-chan no Shoushitsu,0,16,TV
Gin no Saji 2,0,11,TV
Kimi to Boku.,0,13,TV
Itazura na Kiss,0,25,TV
Denpa Kyoushi,0,24,TV
Pocket Monsters Maboroshi no Pokémon Lugia Bakutan,0,1,Movie
Strike the Blood II,0,8,OVA
Nanatsu no Taizai OVA,0,2,OVA
Shingeki! Kyojin Chuugakkou,0,12,TV
Kami nomi zo Shiru Sekai: Tenri-hen,0,2,OVA
Rozen Maiden,0,12,TV
Love Live! Sunshine!! 2nd Season,0,13,TV
Murenase! Seton Gakuen,0,12,TV
Infinite Dendrogram,0,13,TV
Higurashi no Naku Koro ni Rei,0,5,OVA
Goblin Slayer: GOBLIN'S CROWN,0,1,Movie
Mitsuboshi Colors,0,12,TV
Karneval,0,13,TV
High School Fleet,0,12,TV
Berserk: Ougon Jidaihen III - Kourin,0,1,Movie
Fate/kaleid liner Prisma☆Illya 3rei!!,0,12,TV
Jin-Roh,0,1,Movie
Digimon Tamers,0,51,TV
One Piece Film: Z,0,1,Movie
Uchi no Maid ga Uzasugiru!,0,12,TV
ef: A Tale of Melodies.,0,12,TV
Hoshi no Koe,0,1,OVA
UN-GO,0,11,TV
Gyakuten Saiban: Sono "Shinjitsu", Igi Ari!,0,24,TV
Tengen Toppa Gurren Lagann Movie: Gurren-hen,0,1,Movie
Tsubasa Chronicle,0,26,TV
Yuyushiki,0,12,TV
Yoru wa Mijikashi Arukeyo Otome,0,1,Movie
Hagane no Renkinjutsushi: Milos no Seinaru Hoshi,0,1,Movie
Yuri Kuma Arashi,0,12,TV
Berserk: Ougon Jidaihen II - Doldrey Kouryaku,0,1,Movie
K-ON!!: Keikaku!,0,1,OVA
Hyakuren no Haou to Seiyaku no Valkyria,0,12,TV
Arakawa Under the Bridge x Bridge,0,13,TV
Trinity Seven Movie - Yuukyuu Toshokan to Renkinjutsu Shoujo,0,1,Movie
Dragon Ball Z Movie: Fukkatsu no "F",0,1,Movie
Princess Tutu,0,38,TV
Netsuzou Trap -NTR-,0,12,TV
Hachi-nan tte, Sore wa Nai deshou!,0,12,TV
Ghost Hunt,0,25,TV
Naruto Shippuuden the Movie: Blood Prison,0,1,Movie
InuYasha: Kanketsu-hen,0,26,TV
Hourou Musuko,0,11,TV
Amagami SS+ Plus,0,13,TV
Casshern Sins,0,24,TV
Chuunibyou demo Koi ga Shitai! Lite,0,6,ONA
Free!: Dive to the Future,0,12,TV
Shoujo☆Kageki Revue Starlight,0,12,TV
Toaru Majutsu no Index: Endymion no Kiseki,0,1,Movie
Amanchu!,0,12,TV
Coppelion,0,13,TV
Date A Live II: Kurumi Star Festival,0,1,OVA
Kannagi,0,13,TV
D.Gray-man HALLOW,0,13,TV
Hyakka Ryouran: Samurai Girls,0,12,TV
UQ Holder!: Mahou Sensei Negima! 2,0,12,TV
Pocket Monsters Kesshoutou no Teiou ENTEI,0,1,Movie
Pocket Monsters Advanced Generation,0,192,TV
Yozakura Quartet,0,12,TV
Uma Musume: Pretty Derby,0,13,TV
Dies irae,0,12,TV
Myself ; Yourself,0,13,TV
Ima, Soko ni Iru Boku,0,13,TV
Arcana Famiglia: La Storia Della Arcana Famiglia,0,12,TV
One Piece Film Strong World,0,1,Movie
Gintama.: Porori-hen,0,13,TV
Chaos;Child,0,13,TV
Naruto Shippuuden the Movie: The Lost Tower,0,1,Movie
Mnemosyne: Mnemosyne no Musume-tachi,0,6,TV
Hoshizora e Kakaru Hashi,0,12,TV
Tonari no Kyuuketsuki-san,0,12,TV
Doukyuusei,0,1,Movie
Gaikotsu Shotenin Honda-san,0,12,TV
Kanojo to Kanojo no Neko: Everything Flows,0,4,TV
Isekai no Seikishi Monogatari,0,13,OVA
pet,0,13,TV
Okusama ga Seitokaichou!+!,0,12,TV
Classroom☆Crisis,0,13,TV
Bleach: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,0,1,Movie
Baby Steps,0,25,TV
Inu to Hasami wa Tsukaiyou,0,12,TV
Elfen Lied Special,0,1,Special
Dragon Crisis!,0,12,TV
Princess Lover!,0,12,TV
Shichisei no Subaru,0,12,TV
Yumekui Merry,0,13,TV
Fairy Tail OVA,0,8,OVA
Juuou Mujin no Fafnir,0,12,TV
Naruto Shippuuden the Movie: Kizuna,0,1,Movie
Seitokai Yakuindomo OVA,0,8,OVA
Sakigake!! Cromartie Koukou,0,26,TV
Fairy Tail: Dragon Cry,0,1,Movie
Sora no Method,0,13,TV
Shikioriori,0,3,Movie
Last Exile,0,26,TV
Chrno Crusade,0,24,TV
Senyuu.,0,13,TV
Dantalian no Shoka,0,12,TV
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,0,8,OVA
Hinako Note,0,12,TV
sin: Nanatsu no Taizai,0,12,TV
Ranpo Kitan: Game of Laplace,0,11,TV
Hunter x Hunter: Phantom Rouge,0,1,Movie
Ueno-san wa Bukiyou,0,12,TV
Skip Beat!,0,25,TV
Koukaku Kidoutai: INNOCENCE,0,1,Movie
Net-juu no Susume OVA,0,1,OVA
.hack//Sign,0,26,TV
Koukaku no Regios,0,24,TV
Utawarerumono,0,26,TV
Zoku Sayonara Zetsubou Sensei,0,13,TV
Senran Kagura,0,12,TV
Astarotte no Omocha!,0,12,TV
Eve no Jikan Movie,0,1,Movie
Mirai no Mirai,0,1,Movie
Keppeki Danshi! Aoyama-kun,0,12,TV
Kuromukuro,0,26,TV
Sunoharasou no Kanrinin-san,0,12,TV
Bokura ga Ita,0,26,TV
Himegoto,0,13,TV
Mashiroiro Symphony: The Color of Lovers,0,12,TV
One Room,0,12,TV
Nakitai Watashi wa Neko wo Kaburu,0,1,Movie
Golden Kamuy 2,0,12,TV
Gakkou no Kaidan,0,19,TV
Higashi no Eden Movie II: Paradise Lost,0,1,Movie
Kore wa Zombie Desu ka? OVA,0,2,OVA
Kara no Kyoukai: Shuushou,0,1,OVA
Kyoukai no Kanata Movie: I'LL BE HERE - Kako-hen,0,1,Movie
Kobato.,0,24,TV
Initial D Second Stage,0,13,TV
Kuroshitsuji: Book of Murder,0,2,OVA
Final Fantasy VII: Advent Children,0,1,Movie
Saiki Kusuo no Ψ-nan: Kanketsu-hen,0,1,Special
Garo: Honoo no Kokuin,0,24,TV
Tsurune: Kazemai Koukou Kyuudou-bu,0,13,TV
Bleach: Fade to Black - Kimi no Na wo Yobu,0,1,Movie
Fune wo Amu,0,11,TV
Hoozuki no Reitetsu,0,13,TV
Asu no Yoichi!,0,12,TV
Jashin-chan Dropkick,0,11,TV
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,0,10,TV
Katsute Kami Datta Kemono-tachi e,0,12,TV
Rolling☆Girls,0,12,TV
Coquelicot-zaka kara,0,1,Movie
High School DxD New OVA Oppai, Tsutsumimasu!,0,1,OVA
Kill Me Baby,0,13,TV
Kemono Friends,0,12,TV
Shugo Chara!,0,51,TV
Comet Lucifer,0,12,TV
Seiken no Blacksmith,0,12,TV
Medaka Box Abnormal,0,12,TV
Kono Yo no Hate de Koi o Utau Shoujo YU-NO,0,26,TV
Isuca,0,10,TV
Manaria Friends,0,10,TV
Inazuma Eleven,0,127,TV
Hisone to Maso-tan,0,12,TV
Shoujo-tachi wa Kouya wo Mezasu,0,12,TV
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai L(゜□゜)」,0,1,OVA
Triage X,0,10,TV
Fate/Prototype,0,1,OVA
Bleach: Jigoku-hen,0,1,Movie
Cardcaptor Sakura: Clear Card-hen,0,22,TV
Eromanga Sensei OVA,0,2,OVA
Seikaisuru Kado,0,13,TV
Boku wa Tomodachi ga Sukunai Episode 0: Yami Nabe wa Bishoujo ga Zannen na Nioi,0,1,OVA
Arslan Senki: Fuujin Ranbu,0,8,TV
Lucky☆Star OVA,0,1,OVA
Digimon Adventure tri. 1: Saikai,0,1,Movie
Kyoukai no Kanata Episode 0: Shinonome,0,1,OVA
